Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.19,-.33,-.06,-.41,-.13,-.06,-1.03,-.61,-.21,-.21,-.06,-.02,-.08,.35
1881,-.11,-.19,-.03,-.30,.01,-.06,-.73,-.46,-.13,-.01,.02,-.06,-.02,.32
1882,-.09,-.17,-.01,-.23,-.08,.04,-1.41,-.24,-.02,-.07,-.08,.03,.08,.37
1883,-.19,-.30,-.09,-.36,-.20,-.02,-.37,-.61,-.20,-.21,-.19,-.01,.00,.32
1884,-.27,-.42,-.13,-.57,-.16,-.12,-1.34,-.61,-.40,-.17,-.14,-.14,-.05,.36
1885,-.31,-.41,-.21,-.60,-.16,-.20,-1.19,-.70,-.42,-.10,-.23,-.26,-.07,.34
1886,-.30,-.39,-.22,-.48,-.23,-.20,-1.24,-.44,-.37,-.23,-.24,-.17,-.21,.23
1887,-.32,-.36,-.28,-.46,-.26,-.27,-1.57,-.54,-.20,-.21,-.32,-.23,-.29,.16
1888,-.20,-.23,-.17,-.42,.08,-.33,-1.43,-.46,-.22,.09,.07,-.29,-.37,.11
1889,-.11,-.16,-.06,-.26,.06,-.17,-.87,-.16,-.20,.01,.10,-.15,-.16,.14
1890,-.36,-.40,-.33,-.45,-.37,-.26,-1.33,-.45,-.29,-.31,-.43,-.15,-.39,-.01
1891,-.24,-.25,-.24,-.38,-.14,-.24,-1.34,-.25,-.26,-.04,-.25,-.20,-.27,.04
1892,-.26,-.32,-.22,-.33,-.29,-.16,-1.35,-.35,-.12,-.30,-.29,-.03,-.33,.00
1893,-.30,-.40,-.19,-.40,-.39,-.07,-.89,-.39,-.30,-.42,-.37,.04,-.21,-.03
1894,-.30,-.37,-.23,-.28,-.38,-.22,-1.33,-.20,-.08,-.51,-.24,-.15,-.31,-.16
1895,-.21,-.27,-.15,-.34,-.12,-.19,-.94,-.38,-.16,-.16,-.08,-.20,-.13,-.06
1896,-.14,-.21,-.08,-.34,.04,-.19,-1.27,-.36,-.10,.00,.07,-.15,-.21,-.01
1897,-.10,-.12,-.08,-.30,.18,-.28,-.81,-.31,-.17,.16,.19,-.20,-.36,.00
1898,-.28,-.27,-.29,-.28,-.27,-.29,-1.28,-.02,-.19,-.25,-.28,-.26,-.30,.03
1899,-.16,-.16,-.14,-.18,-.12,-.18,-1.10,.04,-.10,-.13,-.10,-.13,-.22,.08
1900,-.08,-.04,-.12,-.13,.15,-.35,-.62,-.04,-.05,.11,.19,-.31,-.38,.07
1901,-.14,-.07,-.20,-.10,-.04,-.29,-.49,-.01,-.06,-.02,-.07,-.30,-.26,-.04
1902,-.27,-.30,-.23,-.48,-.05,-.34,-1.41,-.40,-.28,-.01,-.09,-.27,-.42,.01
1903,-.35,-.34,-.36,-.40,-.31,-.34,-.33,-.30,-.47,-.25,-.37,-.37,-.25,-.59
1904,-.44,-.45,-.43,-.47,-.45,-.39,-.31,-.53,-.47,-.42,-.48,-.36,-.38,-1.26
1905,-.28,-.28,-.26,-.38,-.13,-.38,-.26,-.17,-.55,-.14,-.11,-.37,-.34,-.37
1906,-.22,-.21,-.24,-.21,-.21,-.25,-.44,.02,-.31,-.20,-.22,-.23,-.22,-.66
1907,-.39,-.47,-.33,-.58,-.33,-.30,-.83,-.71,-.43,-.30,-.37,-.25,-.30,-1.18
1908,-.43,-.46,-.41,-.48,-.47,-.34,-.52,-.52,-.44,-.45,-.50,-.31,-.38,.65
1909,-.47,-.47,-.47,-.48,-.50,-.41,-.86,-.51,-.37,-.46,-.55,-.38,-.41,-.49
1910,-.42,-.42,-.42,-.36,-.53,-.33,-.72,-.14,-.42,-.51,-.55,-.32,-.32,.26
1911,-.43,-.39,-.48,-.37,-.45,-.48,-.24,-.37,-.40,-.42,-.47,-.43,-.53,.14
1912,-.34,-.46,-.22,-.58,-.20,-.31,-.67,-.72,-.47,-.28,-.11,-.37,-.13,-1.55
1913,-.35,-.43,-.25,-.42,-.31,-.32,-.72,-.29,-.44,-.44,-.17,-.29,-.31,-.93
1914,-.16,-.18,-.13,-.23,-.07,-.21,-.65,-.08,-.23,-.10,-.03,-.17,-.23,-.33
1915,-.10,-.09,-.12,-.18,.02,-.19,-.63,-.08,-.11,.05,-.02,-.11,-.23,-1.99
1916,-.33,-.34,-.32,-.29,-.43,-.23,-.40,-.45,-.17,-.42,-.43,-.23,-.17,-1.22
1917,-.39,-.50,-.28,-.40,-.59,-.11,-.68,-.40,-.34,-.66,-.52,-.18,.04,.19
1918,-.24,-.31,-.18,-.33,-.25,-.15,-1.20,-.14,-.21,-.28,-.23,-.09,-.23,-.14
1919,-.21,-.31,-.11,-.40,-.12,-.15,-.88,-.46,-.24,-.18,-.06,-.09,-.22,.27
