"Global Surface Air Temperature Anomaly (C) based on land station data only
--------------------------------------------------------------------------"
Year,No_Smoothing,Lowess(5)
1880,-0.44,-0.37
1881,-0.42,-0.40
1882,-0.34,-0.44
1883,-0.36,-0.47
1884,-0.64,-0.51
1885,-0.51,-0.55
1886,-0.65,-0.57
1887,-0.71,-0.58
1888,-0.50,-0.58
1889,-0.22,-0.58
1890,-0.56,-0.56
1891,-0.59,-0.54
1892,-0.51,-0.52
1893,-0.55,-0.48
1894,-0.43,-0.43
1895,-0.35,-0.38
1896,-0.31,-0.34
1897,-0.21,-0.30
1898,-0.37,-0.27
1899,-0.28,-0.26
1900,-0.14,-0.28
1901,-0.13,-0.30
1902,-0.35,-0.32
1903,-0.42,-0.34
1904,-0.53,-0.37
1905,-0.35,-0.40
1906,-0.24,-0.40
1907,-0.53,-0.40
1908,-0.40,-0.39
1909,-0.41,-0.39
1910,-0.34,-0.38
1911,-0.36,-0.35
1912,-0.35,-0.31
1913,-0.35,-0.29
1914,-0.10,-0.29
1915,-0.09,-0.29
1916,-0.31,-0.29
1917,-0.52,-0.29
1918,-0.43,-0.29
1919,-0.19,-0.29
1920,-0.28,-0.27
1921,-0.17,-0.25
1922,-0.25,-0.24
1923,-0.27,-0.23
1924,-0.24,-0.22
1925,-0.25,-0.20
1926,-0.06,-0.19
1927,-0.19,-0.18
1928,-0.12,-0.17
1929,-0.35,-0.16
1930,-0.16,-0.16
1931,-0.10,-0.16
1932,-0.11,-0.16
1933,-0.25,-0.14
1934,-0.09,-0.13
1935,-0.22,-0.11
1936,-0.09,-0.08
1937,0.00,-0.06
1938,0.06,-0.03
1939,-0.11,-0.01
1940,0.06,0.00
1941,0.02,0.00
1942,0.02,-0.00
1943,-0.03,-0.01
1944,0.03,-0.02
1945,-0.10,-0.04
1946,-0.09,-0.06
1947,0.03,-0.08
1948,-0.10,-0.09
1949,-0.13,-0.10
1950,-0.23,-0.09
1951,-0.08,-0.09
1952,-0.04,-0.09
1953,0.05,-0.09
1954,-0.14,-0.08
1955,-0.14,-0.07
1956,-0.24,-0.06
1957,0.02,-0.04
1958,0.07,-0.01
1959,0.04,0.01
1960,-0.02,0.03
1961,0.08,0.01
1962,0.02,-0.02
1963,0.02,-0.04
1964,-0.25,-0.06
1965,-0.17,-0.07
1966,-0.07,-0.08
1967,-0.02,-0.07
1968,-0.10,-0.04
1969,0.02,-0.02
1970,0.07,-0.01
1971,-0.07,0.01
1972,-0.02,0.01
1973,0.22,0.01
1974,-0.04,0.03
1975,0.02,0.05
1976,-0.17,0.08
1977,0.22,0.12
1978,0.14,0.18
1979,0.20,0.23
1980,0.34,0.26
1981,0.44,0.27
1982,0.14,0.28
1983,0.39,0.28
1984,0.22,0.28
1985,0.20,0.30
1986,0.26,0.33
1987,0.41,0.36
1988,0.52,0.40
1989,0.38,0.43
1990,0.53,0.43
1991,0.53,0.42
1992,0.24,0.42
1993,0.27,0.42
1994,0.39,0.43
1995,0.56,0.46
1996,0.49,0.52
1997,0.55,0.56
1998,0.84,0.59
1999,0.60,0.62
2000,0.57,0.66
2001,0.68,0.69
2002,0.80,0.72
2003,0.78,0.75
2004,0.69,0.77
2005,0.88,0.78
2006,0.77,0.78
2007,0.86,0.79
2008,0.64,0.80
2009,0.79,0.80
2010,0.92,0.80
2011,0.78,0.81
2012,0.76,0.83
2013,0.81,0.88
2014,0.87,0.93
2015,0.96,0.99
2016,1.23,1.05
